polarity,processed
netral,fc yuk yg f
sad,gw tiba tiba kepengen aduhh lagi puasa ga bisa tahan dulu gitu ahhh
joy,ga tega gua c e e s a n sama f meskipun anon ngebayangin buat fantasi s e k s u a l gue sorri ya bukan munafik siapa yg ga mau m cuma pengen tau aja ternyata ada aja yg mau d ajak
sad,kenapa ya dari kmrn saur bareng tmn sma bukber tmn smp ngebahasnya gue ratu dansalah tukang mabu doyan dugem mang hr baha gituan
joy,lagi makan ok sekian
sad,maaf ya aku lupa ultah kamu ga bisa ngasih ucapan pun ngga karena lupa gpp kamu bale chat aku jg udah cukup kok oh ydh yg berikutnya aku
sad,gabisa tidur huhu kumaha ieu zheyeng
netral,ayuk freecal gabut
anger,ini kenapa timelin isinya orang orang pada turn on siiiii
netral,mend beli makan atau bikin indomi
joy,thai tea milk coffe mantap
netral,ada yg pernah beli nyoba minyak bulu gaaa coba pc kalau ada
joy,kalo punya anak gue kasi nama anjay
joy,pengen bgt punya cowo yg bisa nyanyi gue gaada yg bisa nyanyi soalnya hahaha
sad,anjir jari tangan amp pegel balesin chat line tell sama wa pl gw butuh biar gak chatan mulu
netral,chat yuk m here belum bisa tidur
sad,udah dah gua kalo udah baper bakal lama ilang nya mana suami orng lagi
netral,gimana akhir dari kisah cinta kalian
sad,am i good enough for him
disgusted,gue klo liat org badannya bagu jd lgsg suka gt baru deh liat muka haha knp ya tr tapi klo udh deket tau sifatnya aneh gitu yaa malah jd illfeell ihhh jd ga suka
disgusted,bentar yg emg ada beneran cew yg mau secara apa dari aplikasi anon begini seriusan nggggg
netral,f yg bisa tidur tengkurep chat sini m
netral,discord yuk freecal m here tp tua
sad,saat ku ingin menikmati rasanya boker ada bau taik kuce yg menyengat yg merusak kenikmatanku saat boker
netral,f chat dong gw mau mnta sesuatu ada benefit ko
netral,lagu indi barat favorit kalian dong mau nyari referensi
netral,freecal yu f line atau skype
confused,bingung dengan cowo yg suka liat beti cw hahaha
joy,disini ada yang suka musik pop punk ga
netral,ada f yang udah nonton video edo coba kasih tanggapan ke gue
netral,nyari cowo yg kalo naik motor dan ngerem tangan ga pake jari tengah
sad,ada yg mau fc gak gw gak bisa tidur tp cleannn ya f
netral,wdyt kalo ada cewek berhijab ke bar
sad,i need pacar onlen lg male chat tapi fc aja boleh gak
netral,barcelona napaa ya lawan eibar aja gitu bgt mainnya effect after lawan liperpul
sad,sanggupkah kau dan aku tuk memulai kembali
netral,f ada yg mau rate gue m here
sad,gua udah berdamai sama keadaan seharian mata bengep blm ilang masa masih mau nangi lagi udah ya
netral,dan tiba tiba pengen dengerin lagu river
anger,ini burung apk ngapa teru dah
joy,prinsip anon jam segini ga ada cewek hode pun jadi hati senang walaupun tak punya uang hoo
netral,pacaran awet di line yuk drop id nya aja
joy,mengaku bujangan jengjeng
netral,http
joy,se seneng itu sama dp line gue samp diliatin teru
netral,chat di line kuy pc ya
sad,gue kangen dah dibonceng lu
sad,cht dong bosen bgt ew
netral,ini yang jurusan fakulta hukum ada gak yah
sad,udah lupa rasanya ngobrol jam segini
netral,pingin ngobrol sama f gw
joy,kepengen enak sama f yg pake hijab pa lagi main
sad,fc aja yuk lah gabut bener padah ada kela pagi btw
sad,jadi tuh kita sama sama tau kalo kita tuh baper tp ga ada niatan buat pacaran gt lebih kaya jalanin aja udah tp dia sere nyeritain mantannya kan gue male ya
netral,mantan gua main tell ga ya mia kmu disini
confused,gue mau minum tp air galon habi apa yg haru gue lakukan
netral,masih aja blm bisa tidur f
netral,yuk yang belok tapi move
netral,besok sore agendanya ngapain nih
netral,intinya nyari cew jngan di app
anger,sekarang di sini pun ada jam rawan ye dari taun lalu maen nih apk biasanya clean clean aje
confused,coba jelasin kalo gw mau liat chat dimana tampilan baru aneh
anger,beneran deh ba para tamumu banyak bat yang mesum
netral,bisa merem sambil ngomong kalo gak percaya boleh fc
netral,yang pacarnya sibuk sini ma temenin m here
sad,fc yu fc gabut saya tu m
sad,ini gak ada yg mau tolongin laptop gw knpa ini woy
joy,seneng bgt akhirnya punya temen yang satu pemikiran mana dia care bgt tanggung jwb ya aku baper
fear,ehh sumpah gua takut bgt kenapa nih mata gamau merem yaaa
sad,butuh temen chat
sad,klo mau dapet ada yg pydr nya sakit tr bengkak
sad,wooowww perih nya badan lgsg mengelupa keliatan dagingnya kena air pana dari seminggu yg lalu baru berasa perih banget banget nya skrg
netral,kenapa belum pada tidur
netral,rukun iman ad enam satuuuuuuu maaakkkk apaaaa makkk
anger,kamu kira saya peduli wahai bambang
anger,padah post gue ga malah di chat dasar anon kere bisanya cuma pake tangan doang nyewa jablai engga kuat nyari pacar engga laku muka butek
sad,doi gua sakit merasa bersalah bgt deh karna selalu pulang tengah malem kecapean tapi kan karna nyari modal buat nikah ya ma
love,sepanjang hidupku hanya ingin
joy,anon cew yg move dari sini udah pada gabal chat gua okay let block and delet
sad,pengen makan tapi male ngunyah
anger,yeu songong siat meng chat a di ec
joy,mantan tbtb chat bab ku lsg lancar aduh makasih mantan mwa
joy,lay lay lay lay lay lay panggil aku si you sing you lose wahai generasi
love,awal gue suka sama dia tuh emang karena dia ganteng sih makin sini udah butek gitu tapi gue masih suka mungkin sebenernya gue suka kepribadiannya diband rupa
joy,chat hayuuuu gabisa tidur f
joy,fc yuk lah minat chat aja heheh mhere
sad,pengen post tapi male ngetik
sad,penat oh penat gue butuh banget orang yg bisa ada saat sama gue intinya yg enak di ajak nearbi kalo merasa sama pc aja m
joy,lucu ya kalo gak ada bulunya batang doang wkwk
sad,all i need is a littl love in my life all i need is a littl love in the dark a littl but i hope it might kick start me and my broken heart
anger,bangk viu save me ga donlot ngecek save me ternyata udah keluar episod
netral,post manc kali ya biar banyak yang komen
anger,jadi ngomongin gangster si anjink
joy,modu chat mesum dengan subyek mata pelajaran menyenangkan sma yaitu biolog bab reproduksi
netral,butuh partner f buat foto euy khusu jangan ngere dulu ya yang tertarik dan mintan penjelasan bisa pc atau komen
sad,skypecal yo pengen curcol tapi kayanya bakal bosen hahaha
sad,lagi miskin buat parfum tb guee
joy,wkwk jujur gue suka kalau baca post yang tapi gak kotor beneran
netral,mari kita
joy,gule ofc kalo gada gule bantalnya w jadiin gule
anger,dasar mesum mulai nongol
sad,maaf aku khilap berharap sama kamu aku lupa juga ternyata aku emang bukan prioritasmu makasih ya
sad,mau maen pubg tp gue male jam segini tp gabut bgt ajg puse wkwk
netral,edo siapa sih aku kepo nyari dia siapa tp ga nemu
netral,dibacanya apa
joy,ngobhel ngobhel kuy wkwk
sad,mau gimana lagi ya kan gapapa lah
joy,gue bs nebak loh ciri post an anon gue di sini wkwk walaupun lokasinya di kebon kelapa
netral,rekomen toko van premium yg bagu dong gai
anger,si author post tentang kelaminnya si anon malah nge chat udah kebelet ya sana buka oa aja buat bacolan
netral,apa cuma gue yg ketagihan mstrbsi onlin
netral,ada yang mau manc gue tp ga dirt gitu
confused,pernah ga kalian diajauhin ga tau kenpa gua gtu wkwkwkw
sad,butuh temen telfon buat dengerin curhatan aku
joy,pale seneng banget kalo main game yang an secara atau kaya agen pembu nuh bayaran pokoknya yang gitu
sad,can not talk about anyth clean here you goo
joy,barusan adalah vc terlama gue sama anon haha
fear,aplikasi kayak gini tuh pengen dapet tmn baru yg hobinya sama mau cowo atau cew masalahnya kalau cowo gua takut dia gay sdngkn cew tkt diapa apain dgn gua m
netral,http kuingin dia yg sempurna untuk diriku yg biasa allegro
anger,kesel tau kamu sere banget ngilang percakapan kita aku selalu nunggu langsung bale line kamu tapi ternyata aku cuma nastar doang
anger,bencibatspasiguailangdikarenakanhpancurdanlcdbawahkenaashittt
netral,panasin gue virtual dong f
anger,jangan di ec dulu napa belum selesai ngomong ni sini chat lagi buat f yg lagi dichat aja udah pengen
netral,anonku mau nanya habi sholat subuh hari ini tuh jam berapa ya
confused,cowo kalo lg kangen itu berarti tandanya sanggggg wkwkwkwk
joy,aku selalu suka raungan mesin hino ku
netral,http share lg ahh
netral,cew hyper ada ga ya wkwkwk
anger,aku lagi geme liat temen aku yg lirik lirikan diem diem sale suka geme pgn liat jadian eh org malah ngira aku suka sama si cowonya kan kzl
sad,udah masuk ke tahap di mana haru gitu dulu biar bisa tidur
anger,bodoamat bodoamat bodoamat idc
joy,yang ada bapa bapa lagi tapa anjay tru keluar api itu bapa bapa apa hantu banaspati si
anger,sekarang di sini pun ada jam rawan ye dari taun lalu maen nih apk biasanya clean clean aje
sad,tolong dong ngantuk bgt tapi ini laporan ga kelar kelar
joy,yang masih melek syapaneeeeeehhhhhh
joy,jadi gue kegerahan ya di kela guru gue bilang siapa suruh acnya panason pakenya dinginon makanya kami heheheh aja pak gerah
sad,kgn kan main sama kita kita jg kal ngumpul suka kgn ada u tp kita mikir skrg dunia u udah beda sama kita u lbh nyaman main sama mereka mabu tr jd kita mikir u bahagia
confused,semacam ngantuk tapi gak bisa tidur
joy,guy kirimin link gdrive dong dari cowo yang suka ngeshar lagi nyanyi di sini yg menurut kalian pale enak yaa
sad,giliran gue ngepost yang pent gada yang ngechat giliran ga pent langsung bejibun yang chat w t f
netral,f yg berhijab chat dongggg
netral,pleas siapapun kamu nanti bangunin aku sahur dong jam an
disgusted,ga bisa dipungkiri juga ternyata disini juga sebagian tapi pasti ada juga cew yang mesum tapi ya mereka jaim ga banget muncul jam segini
netral,rate pap kuy gw nihh
netral,ada yang pernah baca buku mcdonaldisasi karya ritzer
netral,ada f yg domisili depok
joy,kalo main joke yo mama disini pada konek ga sih
sad,tidurlah jangan cari perasaanmu di kolong masa lalu karena ia sudah menghuni rumah baru jadi selamat malam owl
love,f fr yuk sayangg sama aku
anger,dasar kotor wkwkwk updt gitu doang aja lgsg banyak yg chat
sad,i just wan na hold hand and get a real hug kenapa susah banget sih kenapa selalu mikir kalo gua ini gak pant mau nangi
anger,baba keluar sini tolong ba rumahmu hampir roboh
sad,gua akhirnya ke
joy,ada bapa bapa anjay ada ibu ibu anjay
joy,telponan asik yuk dan jaga privasi aman
sad,malem ini gatau knp dipikiran gue cuma dia samp kebangun mimpi dia malem ini ya allah padah dia aja ga ada peduli sama aku
sad,yaallah otak gua lagi sariawan
netral,gaada yang punya grup clean gitu dilin
sad,ada f depok yang mau nemenin w nontn end game belum nonton nih
sad,chat kuy lah gabut bat nih
anger,syalan sekarang cew yang beringa bukan cowo tpi pa di pc pada halu situ ngete ya
sad,sake lamanya ga punya cew samp ga bisa pdkt gua anjir hahah
sad,cew mesum jam segini kaga ada cew mah yang banyakan hode gue lagi chat nih sama hode padah gue cowo normal hode cekikikan ceritain tentang anon sini
sad,gaada yang mau bayarin gue ke dokter tht
sad,udh lama gapernah chata ama cew
netral,ada yang mau chat ama singl momma
sad,kirimin gue pulsa kek goceeenggg
joy,sebenernya walaupun app anon lu bisa bisa aja ketemu yg baik asalkan niat lu sendiri main app ini gak
sad,mau curhat dong sedikit ajaa anyon
joy,yukk m disini
joy,pada vini vidi vici inginnya
sad,janganlah merasa terspesialkan mungkin nanti kau akan terabaikan ronda
sad,demi apapun gw gak bisa tidur ada yg mau fc gak clean tp wajib f
love,karena kusuka suka
sad,tidur lah selamat malam lupakan saja aku mimpilah dalam tidurmu bersama bintang
anger,tolong dong yang cowo jangan rendah banget attitudenya kalo ya jangan di app anon langsung aja nyewa jablay gak sanggup bayar makanya kerja bujang
netral,ada yang mau fc ngga clean ya tapi hehe
netral,gue f gue lagi merasakan dimana gue pgn disentuh scr nyata krn sblmnya gue gapernah ngerasain itu semua haruskah gue cari m scr random
sad,kuy ma chat bentar sebelum bobo hehe
netral,chatan yuuu mata gue msh seger bgt
sad,malem malem gue on dong shit mager mandinya aku tuhh
netral,pokonya abi saur gua belajar lagi suer dah
netral,anyon up for a chat f here
netral,roleplay atau fr kuy rule bisa diatur di pc m
joy,pekerja sek komersi gak laku lagi ya kayaknya orang pada minta gratisan di sini
sad,cinta itu sederhana yang rumit itu kita
sad,woy kasih pencerahan biar gue diet coba huftt mau masuk kuliahan biar dapet kate
anger,yahhhh si otak mesum gak di kasih pap ngatain hode wkwk lucu
netral,pertanyaan buat f lebih milih uang atw kepuasan
joy,drpd tl mulu mend fc bntr aja ga lebih dari semenit ayooo
confused,gue ga tidur aja kali ya samp sahur
sad,kamu mau jadi have a new messag yang aku tunggu ga
sad,insomiaaa aaaaaa
joy,obrolan malam kuy hehe m here
joy,respect aja sama cew yg apa adanya ga munafik gituu mueh
netral,roleplay as a coupl or cheater f here
sad,sedihsedihsedihsedih
anger,chat gw sih drpd timelin isinya mesum semua
sad,gue mau cerita ke rl gue tp udah pada tidur padah masih kerasa gt sensasinya
netral,ada f kuliahan jkt masih melek
netral,mau fc ga clean btw gue
netral,fc kuy lah gak bisa tdr
netral,call yuk beba dimana m
sad,ada gak ya cewek disini yg mau vc an sama gua yg tampangnya hancur kyk gni
confused,bulu pantat enak nya diapain
netral,ajarin roleplayi bole gaa f
disgusted,ternyata teman gua beli cew setelah gua cek chat dia di wa dan dia juga minta tolong gua buat anterin dia ke hotel awalnya gua biasa aja dan gua curiga
anger,memang brutal mokondo padah
sad,cara ngurangin rokok gmn si susah bgt dah wkwkwk
disgusted,udhlah ga ush terlalu memaksakan timelin jam segini haru ttp bersih lah ini itulah biarkan saja kalo kamu ga berminat dan jijik dengan postingan mereka ya abaikan
netral,ask me anyth f
netral,fc kuy lah sapa tau bisa nyaman
netral,iqan hiyu dilaut teru dia berenang
joy,tadi ma ma yg share link gdrive mana ya suaranya bagu mau aku appreci dengan cara aku pc wkwk
netral,refresh time line yaa thoybah yaa thoybah yaa dawal isytaqnaalik wal hawa nadaana wal hawa
joy,sedikit aneh akan keinginanku hihihi mungkinkah kamu punya hal aneh yang susah dicari
joy,syahrini pantat nya berbulu gak yaa wkwk
sad,gua sere banget nangi sama pacar gua kenapa ya
sad,nangi jam ga berhenti yaampun lo ga capek kasian badan lo
fear,anjirr haru nahan samp sahur nanti ga berani keluar kamar
confused,mmmmmmmmmmmmmmhhhhhhh
sad,cewek disini ada yg mau an sama gua yg aja gak ya gua
anger,hawa ingin menonjok laki laki yang udah bikin adek gue nangi semaleman
anger,beberapa trend fashion itu sebenernya dipengaruhi sama punk style sih jd jangan kyk anak punk lu oke sekian
anger,tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol qon tol
sad,maap kalo repli ga di bale ga ada notif
sad,nyesel bgt minum kpi dua cup alhasil gabisa merem tru perut sakit whyy padah dulu minum kopi tiap hari aja
netral,fc nga clean yu lagi pengen gt m
joy,cowo di tell yg ngakunya jele aslinya nggaa juga ah merendah untuk meroket aja wkwk yg sama gue mayan kokk
joy,orang pertama yang chat aku gombalin
anger,njir napa gua bisa an move ke line ketemu orang yang sama lagi padah kemaren di wa udh gua block dam
netral,ada yang pernah whatsapp nya ke ban ga
sad,tl mulai sepi sepertinya udah pada dapet partner
sad,awal gue stay cool akhir dia ngasi ruang gue kaya org
joy,fr yuuuuu tapi move
netral,f ada yg mau vc tapi ga ngomong nunggu ngantuk aja m
anger,baru samp rumah baru buka handphon liat doi updat snapwa gue jadi pengen sambat rasanya
joy,i need bf for fr u can hear my voic but i never show u my face i be whatev u want kasih alasan kenapa kalian juga mau
netral,ayo fc
netral,http nemu di twitter
joy,coba sini yg bernapa pake idung merapat dengan ku
joy,alhamdulillah f
confused,whi am i do thi tho
sad,gabut cant sleep wan na fc just clean talk
joy,gua pengen tidur sejam aja tapi masih asyiq dengan dunia anon ini
joy,gue pernah ngerasain kyk gue deket sama cew aja udh seneng padah dia ga cuma dia tuh kyk penyemangat gua pdhal dia ga nyemangatin mungkin karna gua sayang
disgusted,gue punya trust issu sama deh bisa aja ga si selama ini yg chat sama gue orangnya aja cuma beda room doang
netral,bismillah ayo fc siapa tau ada yang ngeayoin
sad,http dengerin jeritan hati gua
joy,mantul mantap betul
anger,ngobrolin bukber di grup tiba tiba temen gue nongol langsung nanya bukber tgl jadinya jamber nih anjg apaansi bukber jamber hadeh
sad,gebetan calon praja tapi w gada nya
sad,gue gabisa tidur mau chat f disini
anger,semenjak puasa jam segini jadi rawan pesantren yg doyan report padhl ya biasanya ae
